date,close
2017.01.03,"1,824,000"
2017.01.02,"1,805,000"
2016.12.29,"1,802,000"
2016.12.28,"1,788,000"
2016.12.27,"1,799,000"
2016.12.26,"1,798,000"
2016.12.23,"1,782,000"
2016.12.22,"1,809,000"
2016.12.21,"1,805,000"
2016.12.20,"1,812,000"
2016.12.19,"1,795,000"
2016.12.16,"1,793,000"
2016.12.15,"1,759,000"
2016.12.14,"1,777,000"
2016.12.13,"1,766,000"
2016.12.12,"1,752,000"
2016.12.09,"1,780,000"
2016.12.08,"1,790,000"
2016.12.07,"1,772,000"
2016.12.06,"1,748,000"
2016.12.05,"1,718,000"
2016.12.02,"1,727,000"
2016.12.01,"1,749,000"
2016.11.30,"1,746,000"
2016.11.29,"1,677,000"
2016.11.28,"1,677,000"
2016.11.25,"1,650,000"
2016.11.24,"1,650,000"
2016.11.23,"1,649,000"
2016.11.22,"1,640,000"
2016.11.21,"1,593,000"
2016.11.18,"1,586,000"
2016.11.17,"1,568,000"
2016.11.16,"1,558,000"
2016.11.15,"1,539,000"
2016.11.14,"1,553,000"
2016.11.11,"1,598,000"
2016.11.10,"1,649,000"
2016.11.09,"1,596,000"
2016.11.08,"1,644,000"
2016.11.07,"1,640,000"
2016.11.04,"1,627,000"
2016.11.03,"1,616,000"
2016.11.02,"1,643,000"
2016.11.01,"1,652,000"
2016.10.31,"1,639,000"
2016.10.28,"1,614,000"
2016.10.27,"1,573,000"
2016.10.26,"1,567,000"
2016.10.25,"1,597,000"
2016.10.24,"1,608,000"
2016.10.21,"1,589,000"
2016.10.20,"1,620,000"
2016.10.19,"1,625,000"
2016.10.18,"1,589,000"
2016.10.17,"1,590,000"
2016.10.14,"1,577,000"
2016.10.13,"1,557,000"
2016.10.12,"1,535,000"
2016.10.11,"1,545,000"
2016.10.10,"1,680,000"
2016.10.07,"1,706,000"
2016.10.06,"1,691,000"
2016.10.05,"1,619,000"
2016.10.04,"1,614,000"
2016.09.30,"1,598,000"
2016.09.29,"1,600,000"
2016.09.28,"1,567,000"
2016.09.27,"1,569,000"
2016.09.26,"1,568,000"
2016.09.23,"1,571,000"
2016.09.22,"1,618,000"
2016.09.21,"1,592,000"
2016.09.20,"1,585,000"
2016.09.19,"1,558,000"
2016.09.13,"1,527,000"
2016.09.12,"1,465,000"
2016.09.09,"1,575,000"
2016.09.08,"1,639,000"
2016.09.07,"1,621,000"
2016.09.06,"1,643,000"
2016.09.05,"1,606,000"
2016.09.02,"1,597,000"
2016.09.01,"1,587,000"
2016.08.31,"1,620,000"
2016.08.30,"1,645,000"
2016.08.29,"1,640,000"
2016.08.26,"1,612,000"
2016.08.25,"1,639,000"
2016.08.24,"1,653,000"
2016.08.23,"1,687,000"
2016.08.22,"1,665,000"
2016.08.19,"1,675,000"
2016.08.18,"1,640,000"
2016.08.17,"1,566,000"
2016.08.16,"1,568,000"
2016.08.12,"1,545,000"
2016.08.11,"1,559,000"
2016.08.10,"1,541,000"
2016.08.09,"1,567,000"
2016.08.08,"1,569,000"
2016.08.05,"1,561,000"
2016.08.04,"1,517,000"
2016.08.03,"1,517,000"
2016.08.02,"1,548,000"
2016.08.01,"1,568,000"
2016.07.29,"1,539,000"
2016.07.28,"1,507,000"
2016.07.27,"1,527,000"
2016.07.26,"1,530,000"
2016.07.25,"1,502,000"
2016.07.22,"1,516,000"
2016.07.21,"1,543,000"
2016.07.20,"1,540,000"
2016.07.19,"1,533,000"
2016.07.18,"1,533,000"
2016.07.15,"1,518,000"
2016.07.14,"1,500,000"
2016.07.13,"1,481,000"
2016.07.12,"1,464,000"
2016.07.11,"1,489,000"
2016.07.08,"1,460,000"
2016.07.07,"1,450,000"
2016.07.06,"1,421,000"
2016.07.05,"1,469,000"
2016.07.04,"1,466,000"
2016.07.01,"1,466,000"
2016.06.30,"1,425,000"
2016.06.29,"1,396,000"
2016.06.28,"1,399,000"
2016.06.27,"1,398,000"
2016.06.24,"1,400,000"
2016.06.23,"1,430,000"
2016.06.22,"1,445,000"
2016.06.21,"1,448,000"
2016.06.20,"1,431,000"
2016.06.17,"1,426,000"
2016.06.16,"1,409,000"
2016.06.15,"1,413,000"
2016.06.14,"1,380,000"
2016.06.13,"1,371,000"
2016.06.10,"1,406,000"
2016.06.09,"1,430,000"
2016.06.08,"1,406,000"
2016.06.07,"1,398,000"
2016.06.03,"1,377,000"
2016.06.02,"1,365,000"
2016.06.01,"1,333,000"
2016.05.31,"1,292,000"
2016.05.30,"1,280,000"
2016.05.27,"1,282,000"
2016.05.26,"1,296,000"
2016.05.25,"1,295,000"
2016.05.24,"1,271,000"
2016.05.23,"1,286,000"
2016.05.20,"1,269,000"
2016.05.19,"1,270,000"
2016.05.18,"1,268,000"
2016.05.17,"1,264,000"
2016.05.16,"1,248,000"
2016.05.13,"1,253,000"
2016.05.12,"1,281,000"
2016.05.11,"1,292,000"
2016.05.10,"1,296,000"
2016.05.09,"1,299,000"
2016.05.04,"1,290,000"
2016.05.03,"1,261,000"
2016.05.02,"1,250,000"
2016.04.29,"1,245,000"
2016.04.28,"1,265,000"
2016.04.27,"1,300,000"
2016.04.26,"1,296,000"
2016.04.25,"1,281,000"
2016.04.22,"1,280,000"
2016.04.21,"1,294,000"
2016.04.20,"1,299,000"
2016.04.19,"1,288,000"
2016.04.18,"1,299,000"
2016.04.15,"1,300,000"
2016.04.14,"1,300,000"
2016.04.12,"1,275,000"
2016.04.11,"1,266,000"
2016.04.08,"1,246,000"
2016.04.07,"1,269,000"
2016.04.06,"1,285,000"
2016.04.05,"1,260,000"
2016.04.04,"1,305,000"
2016.04.01,"1,279,000"
2016.03.31,"1,312,000"
2016.03.30,"1,308,000"
2016.03.29,"1,290,000"
2016.03.28,"1,294,000"
2016.03.25,"1,288,000"
2016.03.24,"1,282,000"
2016.03.23,"1,279,000"
2016.03.22,"1,269,000"
2016.03.21,"1,267,000"
2016.03.18,"1,273,000"
2016.03.17,"1,263,000"
2016.03.16,"1,256,000"
